numenq,sch_lev,farm_f,trad_f,exec_f,tech_f,whc_f,blc_f,noocc_f,farm_m,trad_m,exec_m,tech_m,whc_m,blc_m,noocc_m,orfr,oroecd,orother,foreign,late6,urban,male,age98,date_first,full_first,wage_first,employed_36,full_36,wage_36,experience_36,employed_60,full_60,wage_60,experience_60
305679,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,19,9,1,1347,1,1,2308,27,1,1,2308,51
518368,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,0,0,0,0,32,10,0,972,1,1,972,26,1,1,972,50
213118,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,22,13,0,964,1,1,964,23,1,1,869,47
801821,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,20,7,1,1093,1,1,1423,29,1,1,1423,53
c10527,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,21,9,1,391,1,1,1551,15,1,1,1551,39
214076,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,21,12,1,1067,1,1,1067,24,1,1,918,45
202940,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,22,7,1,855,1,1,1189,29,1,1,1189,53
205740,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19,7,1,884,1,1,1190,28,1,1,1190,52
a05735,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,20,9,1,991,1,1,1603,27,1,1,1603,51
209075,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,19,7,1,720,1,1,827,26,1,1,827,50
314444,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,11,1,991,1,1,998,11,1,1,998,35
208393,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,20,7,1,1067,1,1,1067,29,1,1,1067,53
